"STUID,State,District,Gender,Age,Category,Same language,Siblings,Handicap,Father edu,Mother edu,Father occupation,Mother occupation,Below poverty,Use calculator,Use computer,Use Internet,Use dictionary,Read other books,# Books,Distance,Computer use,Library use,Like school,Subjects,Give Lang HW,Give Math HW,Give Scie HW,Give SoSc HW,Correct Lang HW,Correct Math HW,Correct Scie HW,Correct SocS HW,Help in Study,Private tuition,English is difficult,Read English,Dictionary to learn,Answer English WB,Answer English aloud,Maths is difficult,Solve Maths,Solve Maths in groups,Draw geometry,Explain answers,SocSci is difficult,Historical excursions,Participate in SocSci,Small groups in SocSci,Express SocSci views,Science is difficult,Observe experiments,Conduct experiments,Solve science problems,Express science views,Watch TV,Read magazine,Read a book,Play games,Help in household,Maths %,Reading %,Science %,Social %"
"11011001022,AP,1,2,3,4,1,4,2,1,1,3,3,1,1,No,1,2,2,4,3,2,2,2,L,4,1,4,4,4,3,3,3,2,1,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,29.63,,18.18,"
"11011001023,AP,1,2,3,4,1,2,2,1,1,3,3,0,1,No,1,2,2,2,3,2,2,2,S,1,1,3,1,1,1,3,1,2,1,1,3,3,3,2,3,2,3,3,3,1,3,3,2,2,1,3,2,3,3,4,3,3,4,4,,43.33,,"
"11011001024,AP,1,1,5,1,2,5,2,2,1,3,3,0,1,No,1,2,2,2,1,2,1,2,O,4,4,4,4,4,4,4,4,2,1,1,3,3,3,3,1,2,1,3,3,1,3,3,2,3,1,3,3,3,3,4,4,3,2,4,38.89,60.0,,"
"11011001025,AP,1,1,3,1,1,4,2,1,2,3,3,0,2,No,1,1,2,2,2,2,4,2,M,4,3,2,3,4,3,2,3,2,1,3,3,3,3,3,2,1,2,2,3,1,3,3,3,3,3,3,2,3,1,3,4,3,4,4,27.78,,33.33,"
"11011001026,AP,1,1,5,2,1,4,2,1,1,3,3,0,2,No,1,1,2,3,1,2,4,2,O,4,2,2,1,2,2,2,2,2,1,1,3,1,3,3,2,2,3,2,3,0,3,3,3,3,1,3,2,3,3,4,4,3,4,4,,43.33,,42.0"
"11011001027,AP,1,1,5,2,1,5,2,1,1,3,3,0,1,No,1,2,2,2,1,2,1,2,M,4,4,4,4,4,4,4,4,2,1,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,1,3,3,3,3,4,4,4,4,4,,,43.64,39.58"
"11011001029,AP,1,1,4,3,1,5,2,1,1,3,3,1,2,No,1,2,2,2,1,2,3,2,S,4,3,2,2,4,3,2,2,2,1,1,3,3,3,3,2,2,3,3,3,1,3,3,3,3,1,3,3,3,3,3,4,3,4,4,29.63,73.33,,"
"11011001030,AP,1,2,5,3,2,5,2,1,1,3,3,0,2,No,1,1,2,2,1,2,5,2,O,3,4,4,4,4,1,4,4,1,1,1,3,2,3,3,3,2,3,2,1,1,3,3,3,3,2,3,3,2,3,1,4,4,4,4,29.63,,,"
"11011001031,AP,1,1,2,4,1,4,2,1,1,3,3,1,2,No,1,2,2,2,1,2,3,2,L,4,3,2,2,4,3,2,2,2,1,1,3,3,3,3,2,2,3,3,3,1,3,3,2,3,2,3,3,3,3,4,4,3,3,4,24.07,,40.74,"
"11011001032,AP,1,1,0,3,2,5,2,1,1,3,3,1,1,No,1,1,2,2,2,2,2,2,L,4,3,2,1,4,3,2,2,2,1,2,3,3,3,2,2,2,3,2,3,1,3,3,3,3,1,3,3,3,3,4,2,3,4,4,,13.33,,14.58"
"11011001033,AP,1,1,0,0,0,1,0,1,1,3,3,0,1,No,1,1,2,2,2,2,2,2,M,3,2,3,3,2,2,3,3,2,1,1,3,3,3,2,2,2,3,2,3,1,3,3,2,2,2,3,2,3,2,4,2,3,3,4,,30.0,,"
"11011001035,AP,1,1,4,3,2,5,2,2,1,2,2,0,2,No,1,1,2,2,4,2,2,2,L,4,4,4,4,4,4,4,4,2,1,1,2,2,2,2,1,3,2,2,3,1,3,3,2,3,1,3,3,2,3,4,2,3,2,4,22.22,,0.0,"
